Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2003,2003,12,,,,,,,Indonesia, Sulawesi Selatan province)
2003,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,10,4,,,4,,,Indonesia,Brebes (Java Island)
2003,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,17,,,,,,,Indonesia,Nusa Tenggara Timur
2003,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,15,7,,,7,,,Indonesia,Sragen (Java Island)
2003,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,11,15,,,15,,,Indonesia,Java province
2003,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,55,2,,,2,,,Indonesia,Near Yogyakarta (Java Island)
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,Fire,,,,,,2003,2003,70,,63,,63,,,Indonesia,Tanjung Balai Asahan
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,Fire,,,,,,2003,2003,70,,63,,63,,,Indonesia, Malaca detroit (North Sumatra)
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,4,,94,,94,,,Indonesia,Au large de bali
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,17,,41,,41,,,Indonesia,Riau province (Sumatra Island)
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,10,,,,,,,Indonesia,Southeast Sulawesi
2003,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,Storm,,,,,,2003,2003,20,,,,,,,Indonesia,Mayu Islands
2003,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,14,40,,,40,,,Indonesia,Bali
2003,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,,,15000,,15000,1000,1473,Indonesia,Nusa Tenggara Timur
2004,Natural,Meteorological,Storm,Convective storm,IDN,South-Eastern Asia,Asia,,Rain,,75,,,2004,2004,4,,2400,,2400,,,Indonesia,Nusa Tenggara Timur
2004,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Fire,Yes,7,-3615,135538,2004,2004,37,682,13390,,14072,1000,1435,Indonesia,Nabire district (Papua province)
2004,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Fire,,7,-3609,135404,2004,2004,32,213,12620,,12833,55000,78902,Indonesia,Nabire district (Papua province)
2004,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,8,-8152,124868,2004,2004,33,311,83070,,83381,,,Indonesia,Alor district (Nusa Tenggara Timur)
2004,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,,,,2004,2004,,,4615,,4615,,,Indonesia,Sikka district (Nusa Tenggara Timur)
2004,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,9,3295,95982,2004,2004,165708,,,532898,532898,4451600,6386210,Indonesia,Nangroe Aceh Darussalam
2004,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,9,3295,95982,2004,2004,165708,,,532898,532898,4451600,6386210,Indonesia, Sumatera Utara provinces
2004,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,Flood,,,,,2004,2004,29,,,,,3500,5021,Indonesia,Nusa Tenggara Timur
2004,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,Transport accident,,,,,2004,2004,44,11,,,11,,,Indonesia,Kota Pasaman district (Sumatera Barat province)
2004,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8.31,115788,2004,2004,1,40,30000,,30040,12000,17215,Indonesia,Bali Province
2004,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,-0.466,100655,2004,2004,5,7,500,,507,,,Indonesia,Sumatera Barat province
2004,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,100,16728,,16828,,,Indonesia,Sulawesi Utara province
2004,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,2,5,20000,,20005,,,Indonesia,Pasuruan
2004,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,,2100,,2100,,,Indonesia,Sikka district (Nusa Tenggara Timur)
2004,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,280,,,2004,2004,5,,13000,,13000,60000,86075,Indonesia,Dki Jakarta province
2004,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2004,2004,33,,5000,,5000,,,Indonesia,Manimbahoi sub-district
2004,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2004,2004,13,7,,,7,,,Indonesia,Bandung city (Bandung district
2004,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2004,2004,13,7,,,7,,,Indonesia, Jawa Barat province)
2004,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,,1315,,1315,,,Indonesia,Barat province
2004,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,658,,58301,,58301,,,Indonesia,Aceh
2004,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2005,2007,87,,21,,21,,,Indonesia,Banten
2004,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2005,2007,87,,21,,21,,,Indonesia, Jakarta
2004,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2005,2007,87,,21,,21,,,Indonesia, West Java
2004,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2005,2007,87,,21,,21,,,Indonesia, Lampung
2004,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,25,56,,,56,,,Indonesia,Near Solo (Java province)
2004,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,14,,,,,,,Indonesia,Wonosobo district (Java Island)
2004,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,16,10,,,10,,,Indonesia,Batang district (Java Island)
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,"Stormy sea, overloaded ferry",,,,,,2004,2004,223,11,,,11,,,Indonesia,Near Damau (Sulawesi)
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,14,,,,,,,Indonesia,Yapen Island (Papua province)
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,14,,2,,2,,,Indonesia,Banda sea
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,14,,2,,2,,,Indonesia, between Banda and Buru Island (Maluku province)
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,12,,33,,33,,,Indonesia,Between Bitung and Posingon
2004,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,22,,,,,,,Indonesia,Arafura sea
2004,Technological,Technological,Industrial accident,Poisoning,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,100,,,100,,,Indonesia,Batam
2004,Technological,Technological,Industrial accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,12,,,,,,,Indonesia,Pongkor (near Bogor)
2004,Technological,Technological,Miscellaneous accident,Other,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,101,,,101,,,Indonesia,West Java
2004,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,2004,2004,,,,2500,2500,,,Indonesia,Karanganyar urban ward (Jakarta)
2005,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,Yes,9,2085,97108,2005,2005,915,1146,104167,,105313,,,Indonesia,Sumatera Utara province
2005,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-1198,119933,2005,2005,1,4,680,,684,,,Indonesia,Kota Palu district (Sulawesi Tengah province)
2005,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,143,,,,,5000,6938,Indonesia,Bandung district (Jawa Barat province)
2005,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,15,3,,,3,,,Indonesia,Sarmi district
2005,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,33,,,,,,,Indonesia,Kuala Kampar (Sumatra Island)
2005,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,1730,,,2005,2005,47,18,750,,768,,,Indonesia,Sumatera Utara province
2005,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,2460,,,2005,2005,28,211,12000,,12211,,,Indonesia,Sumatera Utara province
2005,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2005,2006,79,30,7781,,7811,,,Indonesia,Sumatera Utara province
2005,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,,,26000,,26000,,,Indonesia,Solok district (Sumatera Barat province)
2005,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2005,2005,25,10,,,10,,,Indonesia,Kota Padang district (Sumatera Barat province)
2005,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,,,,,,,,Indonesia,Sumatera Utara province
2005,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,78000,,,2005,2006,,,329,,329,,,Indonesia,Banten
2005,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,150,,14,,14,,,Indonesia,Medan (Sumatra)
2005,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,200,,,,,,,Indonesia,Arafura sea (Papua province)
2005,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,18,,34,,34,,,Indonesia,Sulawesi Island
2005,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2005,2005,2,125,,,125,,,Indonesia,Jakarta
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Monsoonal rain,Broken Dam/Burst bank,Yes,,,,2006,2007,236,,618486,,618486,,,Indonesia,Sumatera Utara province
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,6,0.626,99859,2006,2006,8,200,1000,,1200,,,Indonesia,Sumatera Utara province
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Monsoonal rains,"Slide (land, mud, snow, rock)",,33830,1.07,124.66,2006,2006,39,39,17500,,17539,25000,33604,Indonesia,Kota Manado
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Monsoonal rains,"Slide (land, mud, snow, rock)",,33830,1.07,124.66,2006,2006,39,39,17500,,17539,25000,33604,Indonesia, Minahasa districts (Sulawesi Utara province)
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia,Sinjai
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Jeneponto
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Bulukumba
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Bantaeng
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Luwu Utara
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Bone
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Gowa
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Sidenrengrappang
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Selayar
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Wajo
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,3100,-5.17,120.11,2006,2006,236,56,28505,670,29231,55200,74197,Indonesia, Soppeng (Sulawesi Selatan province)
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Torrential rain,"Slide (land, mud, snow, rock)",,23710,-3.29,115.49,2006,2006,52,,18250,,18250,,,Indonesia,Tanahlaut
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Torrential rain,"Slide (land, mud, snow, rock)",,23710,-3.29,115.49,2006,2006,52,,18250,,18250,,,Indonesia, Kota Baru
2006,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Torrential rain,"Slide (land, mud, snow, rock)",,23710,-3.29,115.49,2006,2006,52,,18250,,18250,,,Indonesia, Tanahbumbu districts (Kalimantan Selatan province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia,Lasem
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Pamotan
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Sedan areas (Rembang district
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Jawa Tengah province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Demak
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Kota Semarang
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Semarang districts (Jawa Tengah province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Indramayu district (Jawa Barat province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Mosnoonal rain,"Slide (land, mud, snow, rock)",,73070,-6.85,108.59,2006,2006,19,,10000,,10000,27100,36426,Indonesia, Dki Jakarta province
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia,Bendungan
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Trenggalek
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Ogalan
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Karangan
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Tugu
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Durenan
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Gandu Sari areas (Trenggalek district
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Jawa Timur province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Ponorogo district (Jawa Timur province)
2006,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,19040,-7.84,111.86,2006,2006,22,2,400,,402,,,Indonesia, Karanganyar district (Jawa Tengah province)
2006,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,,,,2006,2006,41,,,,,,,Indonesia,Kota Baru district (Kalimantan Selatan province)
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia,Pela
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia, Batu Junku
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia, Waimarot
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia, Wailawa
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia, Waimoly villages (Bata Bual sub-district
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia,Buru district
2006,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,-3595,127214,2006,2006,3,2,1200,,1202,,,Indonesia, Maluku Utara province)
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia,Kulonprogo
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia, Sleman
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia, Kota Yogyakarta
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia, Gunungkidul
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia, Bantul districts (Daerah Istimewa Yogyakarta province)
2006,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,6,-7961,110446,2006,2006,5778,137883,2340745,699295,3177923,3100000,4166869,Indonesia, Purworejo
